MEDIA_NAME,TIME(2020/06/25 16:15:14.638),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI,
start screen,0.00000,0.50662,0.35389,0.00000,0.00000,0,,
start screen,0.00000,0.51333,0.35075,0.00000,0.00000,1,,
start screen,0.06250,0.51472,0.34600,0.00000,0.06250,1,,
start screen,0.06250,0.51563,0.34474,0.00000,0.06250,1,,
start screen,0.06250,0.51616,0.34795,0.00000,0.06250,1,,
start screen,0.06250,0.51694,0.34815,0.00000,0.06250,1,,
start screen,0.12500,0.51757,0.34774,0.00000,0.12500,1,,
start screen,0.12500,0.51828,0.34881,0.00000,0.12500,1,,
start screen,0.12500,0.51906,0.35056,0.00000,0.12500,1,,
start screen,0.12500,0.51975,0.35012,0.00000,0.12500,1,,
start screen,0.18750,0.51993,0.34820,0.00000,0.18750,1,,
start screen,0.18750,0.52071,0.34573,0.00000,0.18750,1,,
start screen,0.18750,0.52139,0.34332,0.00000,0.18750,1,,
start screen,0.18750,0.52197,0.34057,0.00000,0.18750,1,,
start screen,0.25000,0.52286,0.33681,0.00000,0.25000,1,,
start screen,0.25000,0.52365,0.33373,0.00000,0.25000,1,,
start screen,0.25000,0.52196,0.33333,0.00000,0.25000,1,,
start screen,0.25000,0.52072,0.33480,0.00000,0.25000,1,,
start screen,0.31250,0.51961,0.33672,0.00000,0.31250,1,,
start screen,0.31250,0.51871,0.33636,0.00000,0.31250,1,,
start screen,0.31250,0.51736,0.33535,0.00000,0.31250,1,,
start screen,0.37500,0.51612,0.33441,0.00000,0.37500,1,,
start screen,0.37500,0.51551,0.33525,0.00000,0.37500,1,,
start screen,0.37500,0.51516,0.33635,0.00000,0.37500,1,,
start screen,0.37500,0.51484,0.33764,0.00000,0.37500,1,,
start screen,0.43750,0.51548,0.33833,0.00000,0.43750,1,,
start screen,0.43750,0.51537,0.33862,0.00000,0.43750,1,,
start screen,0.43750,0.51527,0.33837,0.00000,0.43750,1,,
start screen,0.43750,0.51559,0.33684,0.00000,0.43750,1,,
start screen,0.50000,0.51606,0.33505,0.00000,0.50000,1,,
start screen,0.50000,0.51650,0.33310,0.00000,0.50000,1,,
start screen,0.50000,0.51661,0.33261,0.00000,0.50000,1,,
start screen,0.50000,0.51577,0.33108,0.00000,0.50000,1,,
start screen,0.56250,0.51497,0.32976,0.00000,0.56250,1,,
start screen,0.56250,0.51497,0.33040,0.00000,0.56250,1,,
start screen,0.56250,0.51479,0.33139,0.00000,0.56250,1,,
start screen,0.56250,0.51462,0.33265,0.00000,0.56250,1,,
start screen,0.62500,0.51505,0.33349,0.00000,0.62500,1,,
start screen,0.62500,0.51511,0.33451,0.00000,0.62500,1,,
start screen,0.62500,0.51516,0.33529,0.00000,0.62500,1,,
start screen,0.68750,0.51469,0.34109,0.00000,0.68750,1,,
start screen,0.68750,0.51476,0.33331,0.00000,0.68750,1,,
start screen,0.68750,0.51455,0.33062,0.00000,0.68750,1,,
start screen,0.68750,0.51348,0.34076,0.00000,0.68750,1,,
start screen,0.75000,0.50337,0.38863,0.00000,0.68750,0,,
start screen,0.75000,0.48786,0.48261,0.00000,0.68750,0,,
start screen,0.75000,0.49135,0.48788,0.00000,0.68750,0,,
start screen,0.75000,0.50859,0.49262,0.00000,0.68750,0,,
start screen,0.81250,0.53192,0.44386,0.00000,0.68750,0,,
start screen,0.81250,0.51706,0.41822,0.00000,0.68750,0,,
start screen,0.81250,0.51247,0.36425,0.00000,0.68750,0,,
start screen,0.81250,0.50345,0.34336,0.00000,0.68750,0,,
start screen,0.87500,0.50802,0.32255,0.00000,0.68750,0,,
start screen,0.87500,0.50262,0.31953,0.81250,0.06250,1,,
start screen,0.87500,0.49954,0.32083,0.81250,0.06250,1,,
start screen,0.87500,0.50028,0.31969,0.81250,0.06250,1,,
start screen,0.93750,0.49909,0.32225,0.81250,0.12500,1,,
start screen,0.93750,0.49820,0.32577,0.81250,0.12500,1,,
start screen,0.93750,0.49968,0.32926,0.81250,0.12500,1,,
start screen,1.00000,0.50015,0.33364,0.81250,0.18750,1,,
start screen,1.00000,0.50054,0.33618,0.81250,0.18750,1,,
start screen,1.00000,0.50055,0.33677,0.81250,0.18750,1,,
start screen,1.00000,0.50188,0.33434,0.81250,0.18750,1,,
start screen,1.06250,0.50303,0.33105,0.81250,0.25000,1,,
start screen,1.06250,0.50339,0.32839,0.81250,0.25000,1,,
start screen,1.06250,0.50379,0.32614,0.81250,0.25000,1,,
start screen,1.06250,0.50414,0.32415,0.81250,0.25000,1,,
start screen,1.12500,0.50441,0.32173,0.81250,0.31250,1,,
start screen,1.12500,0.50523,0.32089,0.81250,0.31250,1,,
start screen,1.12500,0.50595,0.32077,0.81250,0.31250,1,,
13pt1sp,0.00000,0.50598,0.31864,0.00000,0.00000,1,gap3,
13pt1sp,0.06250,0.50598,0.31877,0.00000,0.06250,1,gap3,
13pt1sp,0.06250,0.50599,0.31964,0.00000,0.06250,1,gap3,
13pt1sp,0.06250,0.50799,0.32472,0.00000,0.06250,1,row4,
13pt1sp,0.06250,0.50993,0.32940,0.00000,0.06250,1,row4,
13pt1sp,0.12500,0.51175,0.33327,0.00000,0.12500,1,gap4,
13pt1sp,0.12500,0.51312,0.33530,0.00000,0.12500,1,gap4,
13pt1sp,0.12500,0.51451,0.33790,0.00000,0.12500,1,gap4,
13pt1sp,0.18750,0.53232,0.36372,0.00000,0.12500,0,,
13pt1sp,0.18750,0.54292,0.40330,0.00000,0.12500,0,,
13pt1sp,0.18750,0.54260,0.42497,0.00000,0.12500,0,,
13pt1sp,0.18750,0.54562,0.46453,0.00000,0.12500,0,,
13pt1sp,0.25000,0.54009,0.46368,0.00000,0.12500,0,,
13pt1sp,0.25000,0.53788,0.45709,0.00000,0.12500,0,,
13pt1sp,0.25000,0.53690,0.44965,0.18750,0.06250,1,gapQuestion,
13pt1sp,0.25000,0.53548,0.44323,0.18750,0.06250,1,gapQuestion,
13pt1sp,0.31250,0.53782,0.43879,0.18750,0.12500,1,row10,
13pt1sp,0.31250,0.53950,0.43558,0.18750,0.12500,1,row10,
13pt1sp,0.31250,0.54165,0.43254,0.18750,0.12500,1,gap9,
