MEDIA_NAME,TIME(2020/07/22 08:30:14.047),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0.375,0.38485,0.08165,0,0.375,1,
start screen,1.1875,0.42532,0.38472,0.875,0.3125,1,
start screen,1.625,0.48487,0.32224,1.1875,0.4375,1,
start screen,2.125,0.44088,0.4044,1.8125,0.3125,1,
start screen,2.625,0.41577,0.43859,2.4375,0.1875,1,
13pt1.5sp,0.25,0.41807,0.4291,0,0.25,1,row8
13pt1.5sp,0.625,0.33316,0.21276,0.3125,0.3125,1,gap0
13pt1.5sp,0.875,0.32211,0.28679,0.625,0.25,1,row3
13pt1.5sp,1.1875,0.32744,0.29029,0.9375,0.25,1,row3
13pt1.5sp,1.5625,0.36043,0.2139,1.1875,0.375,1,gap0
13pt1.5sp,1.8125,0.34711,0.24858,1.5625,0.25,1,gap1
13pt1.5sp,2.3125,0.32767,0.30929,1.8125,0.5,1,gap3
13pt1.5sp,2.9375,0.36418,0.31015,2.3125,0.625,1,gap3
13pt1.5sp,3.5,0.29573,0.49832,3,0.5,1,gapQuestion
13pt1.5sp,3.875,0.30903,0.56023,3.5,0.375,1,Question
13pt1.5sp,4.4375,0.29755,0.53202,4.0625,0.375,1,gapQuestion
13pt1.5sp,5.0625,0.36891,0.54783,4.4375,0.625,1,Question
13pt1.5sp,6.5,0.43805,0.51872,5.25,1.25,1,gapQuestion
13pt1.5sp,7.3125,0.40207,0.53508,6.5,0.8125,1,gapQuestion-Question
13pt1.5sp,7.875,0.42912,0.4766,7.5625,0.3125,1,gap9
13pt1.5sp,8.3125,0.34597,0.25816,7.9375,0.375,1,gap1-row2
13pt1.5sp,8.625,0.41444,0.26998,8.3125,0.3125,1,gap2
13pt1.5sp,9,0.38029,0.38805,8.6875,0.3125,1,gap6
13pt1.5sp,9.375,0.33684,0.40428,9,0.375,1,row7
13pt1.5sp,9.625,0.36388,0.4936,9.375,0.25,1,gapQuestion
13pt1.5sp,10.25,0.44525,0.58367,9.625,0.625,1,
13pt1.5sp,10.875,0.44554,0.54769,10.5,0.375,1,Question
13pt1.5sp,11.25,0.4318,0.52457,10.875,0.375,1,gapQuestion
13pt1.5sp,11.875,0.37674,0.53484,11.4375,0.4375,1,gapQuestion
13pt1.5sp,12.3125,0.403,0.54269,11.9375,0.375,1,Question
13pt1.5sp,12.75,0.4566,0.53406,12.375,0.375,1,gapQuestion
13pt1.5sp,13,0.38445,0.40923,12.75,0.25,1,gap7
13pt1.5sp,13.3125,0.32291,0.38882,13,0.3125,1,gap6
13pt1.5sp,13.5,0.32128,0.49737,13.3125,0.1875,1,gapQuestion
13pt1.5sp,13.9375,0.31663,0.45756,13.5,0.4375,1,row9
13pt1.5sp,15.4375,0.32407,0.35015,13.9375,1.5,1,row5
13pt1.5sp,16.0625,0.32477,0.35819,15.4375,0.625,1,gap5
13pt1.5sp,16.625,0.37566,0.3609,16.0625,0.5625,1,gap5
13pt1.5sp,17.375,0.39439,0.35179,16.6875,0.6875,1,gap5
13pt1.5sp,17.875,0.42885,0.3725,17.375,0.5,1,row6
13pt1.5sp,18.5625,0.4811,0.33409,17.9375,0.625,1,gap4
13pt1.5sp,19.4375,0.4973,0.34665,18.5625,0.875,1,row5
13pt1.5sp,20.125,0.42856,0.34174,19.625,0.5,1,gap4-row5
13pt1.5sp,21,0.29992,0.37403,20.1875,0.8125,1,row6
13pt1.5sp,21.6875,0.32031,0.35134,21,0.6875,1,gap5
13pt1.5sp,22.0625,0.32001,0.38815,21.6875,0.375,1,gap6
13pt1.5sp,22.75,0.36016,0.38201,22.125,0.625,1,gap6
