MEDIA_NAME,TIME(2020/07/29 20:34:35.614),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI,
start screen,0.12500,0.38375,0.07462,0.00000,0.12500,1,,
start screen,0.50000,0.37800,0.13545,0.12500,0.37500,1,,
start screen,1.12500,0.44951,0.46730,1.00000,0.12500,1,,
13pt1.2spA,0.00000,0.46191,0.47873,0.00000,0.00000,1,gapQuestion,
13pt1.2spA,0.37500,0.48873,0.47064,0.12500,0.25000,1,gapQuestion,
13pt1.2spA,0.87500,0.36276,0.22473,0.37500,0.50000,1,gap0,
13pt1.2spA,1.37500,0.43392,0.22684,0.87500,0.50000,1,gap0,
13pt1.2spA,1.87500,0.47697,0.24484,1.37500,0.50000,1,gap1,
13pt1.2spA,2.37500,0.35629,0.23279,1.87500,0.50000,1,row1,
13pt1.2spA,3.00000,0.43359,0.25828,2.37500,0.62500,1,row2,
13pt1.2spA,3.50000,0.48140,0.27283,3.00000,0.50000,1,gap2,
13pt1.2spA,3.87500,0.35931,0.29267,3.50000,0.37500,1,gap3,
13pt1.2spA,4.25000,0.39281,0.27354,4.00000,0.25000,1,gap2,
13pt1.2spA,4.75000,0.35972,0.29912,4.25000,0.50000,1,row4,
13pt1.2spA,5.25000,0.41279,0.31149,4.75000,0.50000,1,gap4,
13pt1.2spA,5.75000,0.46761,0.32513,5.37500,0.37500,1,row5,
13pt1.2spA,6.00000,0.42752,0.30993,5.75000,0.25000,1,gap4,
13pt1.2spA,6.37500,0.35670,0.32649,6.00000,0.37500,1,row5,
13pt1.2spA,7.12500,0.41763,0.32190,6.37500,0.75000,1,row5,
13pt1.2spA,7.50000,0.35202,0.34200,7.12500,0.37500,1,row6,
13pt1.2spA,7.87500,0.42585,0.31727,7.50000,0.37500,1,gap4,
13pt1.2spA,8.00000,0.44367,0.34940,7.87500,0.12500,1,row6,
13pt1.2spA,8.75000,0.34592,0.34446,8.25000,0.50000,1,row6,
13pt1.2spA,9.25000,0.38567,0.33693,8.75000,0.50000,1,gap5,
13pt1.2spA,9.87500,0.45136,0.35847,9.25000,0.62500,1,gap6,
13pt1.2spA,10.25000,0.50775,0.33605,9.87500,0.37500,1,gap5,
13pt1.2spA,10.50000,0.41860,0.33800,10.37500,0.12500,1,gap5,
13pt1.2spA,11.12500,0.35348,0.39231,10.50000,0.62500,1,row8,
13pt1.2spA,11.62500,0.43854,0.37758,11.12500,0.50000,1,gap7,
13pt1.2spA,12.25000,0.48101,0.35629,11.62500,0.62500,1,gap6,
13pt1.2spA,12.75000,0.34700,0.40178,12.25000,0.50000,1,gap8,
13pt1.2spA,13.50000,0.39951,0.37906,12.75000,0.75000,1,gap7,
13pt1.2spA,14.00000,0.44585,0.39122,13.50000,0.50000,1,row8,
13pt1.2spA,14.25000,0.48817,0.38872,14.00000,0.25000,1,row8,
13pt1.2spA,14.87500,0.36021,0.41007,14.37500,0.50000,1,row9,
13pt1.2spA,15.25000,0.41754,0.40699,15.00000,0.25000,1,gap8,
13pt1.2spA,15.62500,0.37986,0.40838,15.25000,0.37500,1,row9,
13pt1.2spA,16.25000,0.35156,0.46832,15.87500,0.37500,1,gapQuestion,
13pt1.2spA,16.62500,0.38037,0.42607,16.25000,0.37500,1,gap9,
13pt1.2spA,16.87500,0.34023,0.48185,16.62500,0.25000,1,gapQuestion,
13pt1.2spA,17.62500,0.38690,0.47400,17.12500,0.50000,1,gapQuestion,
13pt1.2spA,18.25000,0.33660,0.47420,17.62500,0.62500,1,gapQuestion,
13pt1.2spA,18.75000,0.39353,0.49479,18.25000,0.50000,1,gapQuestion,
13pt1.2spA,19.50000,0.42398,0.49496,18.75000,0.75000,1,gapQuestion,
13pt1.2spA,20.12500,0.48826,0.48119,19.50000,0.62500,1,gapQuestion,
13pt1.2spA,20.75000,0.51422,0.48608,20.12500,0.62500,1,gapQuestion,
13pt1.2spA,21.25000,0.36961,0.52151,20.87500,0.37500,1,Question,
13pt1.2spA,22.00000,0.34259,0.50668,21.50000,0.50000,1,Question,
13pt1.2spA,22.75000,0.35980,0.48734,22.00000,0.75000,1,gapQuestion,
13pt1.2spA,23.00000,0.39559,0.53353,22.87500,0.12500,1,,
13pt1.2spA,24.00000,0.42258,0.49522,23.25000,0.75000,1,gapQuestion,
13pt1.2spA,24.37500,0.39044,0.48801,24.00000,0.37500,1,gapQuestion,
13pt1.2spA,24.75000,0.39002,0.38439,24.62500,0.12500,1,gap7-row8,
13pt1.2spA,25.37500,0.37275,0.32295,24.75000,0.62500,1,row5,
13pt1.2spA,25.75000,0.33729,0.37571,25.37500,0.37500,1,gap7,
13pt1.2spA,26.12500,0.33818,0.44502,25.75000,0.37500,1,gap10,
13pt1.2spA,26.50000,0.35950,0.49650,26.12500,0.37500,1,gapQuestion-Question,
13pt1.2spA,27.50000,0.34552,0.39551,26.50000,1.00000,1,gap8,
13pt1.2spA,28.00000,0.37406,0.36883,27.50000,0.50000,1,row7,
13pt1.2spA,28.37500,0.37967,0.46776,28.00000,0.37500,1,gapQuestion,
13pt1.2spA,29.25000,0.35684,0.39717,28.37500,0.87500,1,gap8,
13pt1.2spA,29.62500,0.40538,0.42311,29.37500,0.25000,1,gap9,
13pt1.2spA,30.12500,0.41553,0.38634,29.62500,0.50000,1,row8,
13pt1.2spA,30.37500,0.42216,0.50337,30.12500,0.25000,1,Question,
13pt1.2spA,30.75000,0.43390,0.40657,30.62500,0.12500,1,gap8,
13pt1.2spA,31.37500,0.46807,0.35772,30.75000,0.62500,1,gap6,
13pt1.2spA,31.87500,0.50415,0.35332,31.37500,0.50000,1,gap6,
13pt1.2spA,32.37500,0.48428,0.37683,32.00000,0.37500,1,gap7,
13pt1.2spA,32.87500,0.40004,0.49835,32.37500,0.50000,1,Question,
13pt1.2spA,33.37500,0.32858,0.48981,32.87500,0.50000,1,gapQuestion,
13pt1.2spA,33.87500,0.39277,0.38777,33.50000,0.37500,1,row8,
13pt1.2spA,34.12500,0.43217,0.36335,33.87500,0.25000,1,gap6-row7,
10pt1.2sp,0.50000,0.34798,0.36577,0.00000,0.50000,1,gap6,
10pt1.2sp,0.75000,0.36514,0.26656,0.50000,0.25000,1,gap0,
10pt1.2sp,1.37500,0.39625,0.25962,0.75000,0.62500,1,,
10pt1.2sp,2.75000,0.40133,0.27395,1.37500,1.37500,1,row1,
10pt1.2sp,3.62500,0.40521,0.28076,2.87500,0.75000,1,gap1,
10pt1.2sp,4.25000,0.38015,0.27873,3.62500,0.62500,1,row1,
10pt1.2sp,6.12500,0.46433,0.29750,4.25000,1.87500,1,gap2,
10pt1.2sp,6.62500,0.45865,0.28844,6.12500,0.50000,1,gap1,
10pt1.2sp,7.00000,0.36543,0.35187,6.62500,0.37500,1,gap5,
