MEDIA_NAME,TIME(2020/06/18 16:22:17.797),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV
start screen,0,0.54493,0.15271,0,0,0
start screen,0.0166,0.54507,0.15485,0,0,0
start screen,0.03271,0.54675,0.16145,0,0.03271,1
start screen,0.0498,0.54786,0.16114,0,0.0498,1
start screen,0.06592,0.5486,0.16092,0,0.06591,1
start screen,0.08252,0.55012,0.16124,0,0.08252,1
start screen,0.09912,0.5519,0.16002,0,0.09912,1
start screen,0.11572,0.55328,0.15907,0,0.11572,1
start screen,0.13232,0.55424,0.15619,0,0.13232,1
start screen,0.14941,0.55466,0.15425,0,0.14941,1
start screen,0.16602,0.55501,0.15263,0,0.16601,1
start screen,0.18066,0.55651,0.15167,0,0.18066,1
start screen,0.19775,0.55815,0.15152,0,0.19775,1
start screen,0.21436,0.55957,0.1514,0,0.21435,1
start screen,0.23096,0.55989,0.15064,0,0.23095,1
start screen,0.24756,0.55916,0.15151,0,0.24756,1
start screen,0.26465,0.55842,0.15375,0,0.26465,1
start screen,0.2793,0.55863,0.15772,0,0.27929,1
start screen,0.29639,0.55877,0.16301,0,0.29638,1
start screen,0.3125,0.55883,0.16907,0,0.3125,1
start screen,0.32959,0.55973,0.17514,0,0.32959,1
start screen,0.34619,0.55893,0.17944,0,0.34619,1
start screen,0.36426,0.56153,0.2119,0,0.34619,0
start screen,0.37939,0.55884,0.19968,0,0.34619,0
start screen,0.39453,0.55884,0.19188,0,0.34619,0
start screen,0.41113,0.55896,0.18554,0.36426,0.04688,1
start screen,0.42725,0.54514,0.20629,0.36426,0.06299,1
start screen,0.44678,0.53764,0.22154,0.36426,0.08252,1
start screen,0.46338,0.53227,0.23243,0.36426,0.09912,1
start screen,0.47949,0.52557,0.24186,0.36426,0.11523,1
start screen,0.49707,0.52076,0.2435,0.36426,0.13281,1
start screen,0.51123,0.51684,0.24323,0.36426,0.14697,1
start screen,0.52783,0.51486,0.24815,0.36426,0.16357,1
start screen,0.54248,0.5125,0.2506,0.36426,0.17822,1
start screen,0.55908,0.51048,0.25301,0.36426,0.19482,1
start screen,0.57568,0.50826,0.25705,0.36426,0.21143,1
start screen,0.59277,0.5076,0.25879,0.36426,0.22852,1
start screen,0.60986,0.48973,0.28595,0.36426,0.22852,0
start screen,0.625,0.48495,0.30502,0.36426,0.22852,0
start screen,0.6416,0.47179,0.37829,0.36426,0.22852,0
start screen,0.65771,0.46282,0.42446,0.36426,0.22852,0
start screen,0.67432,0.46282,0.42446,0.36426,0.22852,0
start screen,0.69189,0.46282,0.42446,0.36426,0.22852,0
start screen,0.7085,0,0,0.36426,0.22852,0
start screen,0.72754,0,0,0.36426,0.22852,0
start screen,0.74121,0,0,0.36426,0.22852,0
start screen,0.75732,0,0,0.36426,0.22852,0
start screen,0.77344,0,0,0.36426,0.22852,0
start screen,0.79004,0,0,0.36426,0.22852,0
start screen,0.80664,0,0,0.36426,0.22852,0
start screen,0.82324,0,0,0.36426,0.22852,0
start screen,0.83887,0,0,0.36426,0.22852,0
start screen,0.85596,0.47716,0.35988,0.36426,0.22852,0
