MEDIA_NAME,TIME(2020/06/22 19:13:41.704),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI,
start screen,0.40625,0.51965,0.48607,0.00000,0.40625,1,,
start screen,0.56250,0.49465,0.41939,0.40625,0.15625,1,,
20pt1.2sp,0.37500,0.45196,0.44292,0.00000,0.37500,1,row7,
20pt1.2sp,1.21875,0.22225,0.23098,0.68750,0.53125,1,row1,
20pt1.2sp,1.59375,0.28192,0.24949,1.25000,0.34375,1,gap1,
20pt1.2sp,2.00000,0.32919,0.23801,1.62500,0.37500,1,gap1,
20pt1.2sp,2.50000,0.38938,0.24184,2.00000,0.50000,1,gap1,
20pt1.2sp,2.96875,0.44655,0.24861,2.53125,0.43750,1,gap1,
20pt1.2sp,3.43750,0.51061,0.25463,3.00000,0.43750,1,gap1,
20pt1.2sp,3.53125,0.54529,0.23645,3.46875,0.06250,1,gap1,
20pt1.2sp,4.15625,0.58071,0.24257,3.68750,0.46875,1,gap1,
20pt1.2sp,4.43750,0.63002,0.23977,4.18750,0.25000,1,gap1,
20pt1.2sp,4.62500,0.44023,0.29006,4.43750,0.18750,1,gap2,
20pt1.2sp,5.43750,0.23669,0.26672,4.68750,0.75000,1,row2,
20pt1.2sp,5.75000,0.30481,0.26890,5.43750,0.31250,1,row2,
20pt1.2sp,6.00000,0.33326,0.27799,5.75000,0.25000,1,gap2,
20pt1.2sp,6.31250,0.39068,0.22561,6.21875,0.09375,1,row1,
20pt1.2sp,6.90625,0.44633,0.22973,6.53125,0.37500,1,row1,
20pt1.2sp,7.78125,0.50283,0.25585,6.90625,0.87500,1,gap1,
20pt1.2sp,8.15625,0.56695,0.25182,7.78125,0.37500,1,gap1,
20pt1.2sp,8.59375,0.24339,0.32028,8.28125,0.31250,1,gap3,
20pt1.2sp,8.90625,0.22239,0.28458,8.62500,0.28125,1,gap2,
20pt1.2sp,9.21875,0.24199,0.33089,8.90625,0.31250,1,row4,
20pt1.2sp,9.37500,0.27318,0.33238,9.25000,0.12500,1,row4,
20pt1.2sp,10.09375,0.31722,0.27925,9.53125,0.56250,1,gap2,
20pt1.2sp,10.50000,0.33591,0.26600,10.12500,0.37500,1,row2,
20pt1.2sp,10.87500,0.21531,0.34234,10.56250,0.31250,1,gap4,
20pt1.2sp,11.37500,0.28540,0.34308,11.03125,0.34375,1,gap4,
20pt1.2sp,12.03125,0.38799,0.33430,11.59375,0.43750,1,row4,
20pt1.2sp,12.40625,0.44269,0.30601,12.06250,0.34375,1,gap3,
20pt1.2sp,12.84375,0.49879,0.31245,12.40625,0.43750,1,gap3,
20pt1.2sp,13.06250,0.38580,0.34561,12.84375,0.21875,1,gap4,
20pt1.2sp,13.40625,0.22831,0.38739,13.12500,0.28125,1,gap5,
20pt1.2sp,14.03125,0.27570,0.37793,13.59375,0.43750,1,gap5,
20pt1.2sp,14.53125,0.33231,0.37124,14.06250,0.46875,1,row5,
20pt1.2sp,15.03125,0.43133,0.36517,14.53125,0.50000,1,row5,
20pt1.2sp,15.12500,0.46994,0.35609,15.03125,0.09375,1,gap4,
20pt1.2sp,15.56250,0.53209,0.38822,15.34375,0.21875,1,gap5,
20pt1.2sp,16.09375,0.60625,0.35169,15.71875,0.37500,1,gap4,
20pt1.2sp,16.71875,0.71587,0.33865,16.31250,0.40625,1,row4,
20pt1.2sp,17.03125,0.77175,0.36004,16.71875,0.31250,1,gap4,
20pt1.2sp,17.34375,0.23134,0.41226,17.09375,0.25000,1,gap6,
20pt1.2sp,17.90625,0.26908,0.40946,17.53125,0.37500,1,row6,
20pt1.2sp,18.09375,0.32913,0.39029,17.90625,0.18750,1,gap5,
20pt1.2sp,18.65625,0.47625,0.41497,18.25000,0.40625,1,gap6,
20pt1.2sp,19.15625,0.54231,0.41816,18.65625,0.50000,1,gap6,
20pt1.2sp,19.31250,0.56745,0.44166,19.15625,0.15625,1,row7,
