MEDIA_NAME,TIME(2020/06/23 12:10:50.075),FPOGX,FPOGY,FPOGS,FPOGD,FPOGV,AOI
start screen,0,0.34055,0.08604,0,0,1,
start screen,0,0.3486,0.10735,0,0,1,
start screen,0.03125,0.35461,0.12085,0,0.03125,1,
start screen,0.03125,0.35691,0.12078,0,0.03125,1,
start screen,0.0625,0.359,0.1119,0,0.0625,1,
start screen,0.0625,0.35979,0.09727,0,0.0625,1,
start screen,0.09375,0.35906,0.08959,0,0.09375,1,
start screen,0.09375,0.38202,0.09844,0,0.09375,0,
start screen,0.125,0.37239,0.08189,0,0.09375,0,
start screen,0.125,0.37181,0.07406,0,0.09375,0,
start screen,0.15625,0.37117,0.07286,0.09375,0.0625,1,
start screen,0.15625,0.37069,0.0716,0.09375,0.0625,1,
start screen,0.1875,0.37543,0.07481,0.09375,0.09375,1,
start screen,0.1875,0.38882,0.10904,0.09375,0.09375,1,
start screen,0.21875,0.3988,0.13361,0.09375,0.125,1,
start screen,0.21875,0.41187,0.15638,0.09375,0.125,1,
start screen,0.25,0.41999,0.17647,0.09375,0.15625,1,
start screen,0.25,0.42665,0.19307,0.09375,0.15625,1,
start screen,0.28125,0.43337,0.20442,0.09375,0.1875,1,
start screen,0.28125,0.43977,0.21378,0.09375,0.1875,1,
start screen,0.3125,0.45738,0.24585,0.09375,0.1875,0,
start screen,0.34375,0.4743,0.34196,0.09375,0.1875,0,
start screen,0.34375,0.47993,0.37065,0.09375,0.1875,0,
start screen,0.375,0.49171,0.43645,0.09375,0.1875,0,
start screen,0.375,0.50081,0.43454,0.09375,0.1875,0,
start screen,0.40625,0.5013,0.4327,0.09375,0.1875,0,
start screen,0.40625,0.50146,0.42958,0.375,0.03125,1,
start screen,0.4375,0.50297,0.4265,0.375,0.0625,1,
start screen,0.4375,0.50432,0.41897,0.375,0.0625,1,
start screen,0.46875,0.50495,0.40878,0.375,0.09375,1,
start screen,0.46875,0.50463,0.39882,0.375,0.09375,1,
start screen,0.5,0.50602,0.39205,0.375,0.125,1,
start screen,0.5,0.50704,0.38493,0.375,0.125,1,
start screen,0.53125,0.50747,0.37508,0.375,0.15625,1,
start screen,0.53125,0.50781,0.36663,0.375,0.15625,1,
start screen,0.5625,0.50809,0.35948,0.375,0.1875,1,
start screen,0.5625,0.50518,0.3548,0.375,0.1875,1,
start screen,0.59375,0.50339,0.35073,0.375,0.21875,1,
start screen,0.59375,0.50213,0.32189,0.375,0.21875,0,
start screen,0.625,0.51197,0.35562,0.375,0.21875,0,
start screen,0.65625,0.51017,0.38924,0.375,0.21875,0,
start screen,0.65625,0.51208,0.4378,0.375,0.21875,0,
start screen,0.6875,0.52176,0.41161,0.375,0.21875,0,
start screen,0.6875,0.52465,0.39144,0.375,0.21875,0,
start screen,0.71875,0.52592,0.37397,0.65625,0.0625,1,
start screen,0.71875,0.5213,0.36066,0.65625,0.0625,1,
start screen,0.75,0.51435,0.34591,0.65625,0.09375,1,
start screen,0.75,0.50955,0.33802,0.65625,0.09375,1,
start screen,0.78125,0.50711,0.33836,0.65625,0.125,1,
start screen,0.78125,0.50547,0.34211,0.65625,0.125,1,
start screen,0.8125,0.50446,0.34852,0.65625,0.15625,1,
start screen,0.8125,0.50521,0.36083,0.65625,0.15625,1,
start screen,0.84375,0.50521,0.36083,0.65625,0.1875,1,
start screen,0.84375,0.50521,0.36083,0.65625,0.1875,1,
start screen,0.875,0.50521,0.36083,0.65625,0.21875,1,
start screen,0.875,0.50452,0.35314,0.65625,0.21875,0,
start screen,0.90625,0.50452,0.35314,0.65625,0.21875,0,
start screen,0.90625,0.50452,0.35314,0.65625,0.21875,0,
16pt1.2sp,0,0,0,0,0,0,
16pt1.2sp,0.03125,0,0,0,0,0,
16pt1.2sp,0.03125,0,0,0,0,0,
16pt1.2sp,0.0625,0,0,0,0,0,
16pt1.2sp,0.0625,0,0,0,0,0,
16pt1.2sp,0.09375,0,0,0,0,0,
16pt1.2sp,0.09375,0,0,0,0,0,
16pt1.2sp,0.125,0,0,0,0,0,
16pt1.2sp,0.125,0,0,0,0,0,
16pt1.2sp,0.15625,0,0,0,0,0,
16pt1.2sp,0.15625,0.25172,0.24394,0,0,0,
16pt1.2sp,0.1875,0.35507,0.27939,0,0,0,
16pt1.2sp,0.1875,0.54459,0.39652,0,0,0,
16pt1.2sp,0.21875,0.55642,0.37214,0,0,0,
16pt1.2sp,0.21875,0.56714,0.37171,0,0,0,
16pt1.2sp,0.25,0.57193,0.37286,0.1875,0.0625,1,row7
16pt1.2sp,0.25,0.57469,0.37671,0.1875,0.0625,1,gap7
16pt1.2sp,0.28125,0.57707,0.37881,0.1875,0.09375,1,gap7
16pt1.2sp,0.28125,0.57776,0.38001,0.1875,0.09375,1,gap7
16pt1.2sp,0.3125,0.57827,0.38091,0.1875,0.125,1,gap7
16pt1.2sp,0.34375,0.57777,0.38325,0.1875,0.15625,1,gap7
16pt1.2sp,0.34375,0.57546,0.38577,0.1875,0.15625,1,gap7
16pt1.2sp,0.375,0.57356,0.38784,0.1875,0.1875,1,gap7
16pt1.2sp,0.375,0.55933,0.3818,0.1875,0.1875,1,gap7
16pt1.2sp,0.40625,0.54659,0.37822,0.1875,0.21875,1,gap7
16pt1.2sp,0.40625,0.53537,0.37371,0.1875,0.21875,1,row7
16pt1.2sp,0.4375,0.5241,0.36624,0.1875,0.25,1,row7
16pt1.2sp,0.4375,0.51428,0.35902,0.1875,0.25,1,gap6
16pt1.2sp,0.46875,0.47683,0.34261,0.1875,0.25,0,
16pt1.2sp,0.46875,0.40078,0.26557,0.1875,0.25,0,
16pt1.2sp,0.5,0.3783,0.2358,0.1875,0.25,0,
16pt1.2sp,0.5,0.33233,0.18826,0.1875,0.25,0,
16pt1.2sp,0.53125,0.34572,0.20986,0.1875,0.25,0,
16pt1.2sp,0.53125,0.72164,0.20634,0.1875,0.25,0,
16pt1.2sp,0.5625,1.07275,0.2329,0.1875,0.25,0,
16pt1.2sp,0.5625,0.72747,0.29539,0.1875,0.25,0,
16pt1.2sp,0.59375,0.61648,0.33567,0.1875,0.25,0,
16pt1.2sp,0.59375,0.39644,0.42178,0.1875,0.25,0,
16pt1.2sp,0.625,0.40338,0.44829,0.1875,0.25,0,
16pt1.2sp,0.65625,0.39778,0.46098,0.1875,0.25,0,
16pt1.2sp,0.65625,0.39498,0.46733,0.59375,0.0625,1,gapQuestion
16pt1.2sp,0.6875,0.39601,0.46591,0.59375,0.09375,1,gapQuestion
16pt1.2sp,0.6875,0.39439,0.46561,0.59375,0.09375,1,gapQuestion
16pt1.2sp,0.71875,0.38869,0.44853,0.59375,0.125,1,row10
16pt1.2sp,0.71875,0.38087,0.42503,0.59375,0.125,1,row9
16pt1.2sp,0.75,0.37022,0.39337,0.59375,0.15625,1,row8
16pt1.2sp,0.75,0.35917,0.3588,0.59375,0.15625,1,gap6
16pt1.2sp,0.78125,0.35412,0.33211,0.59375,0.1875,1,gap5
16pt1.2sp,0.78125,0.34875,0.3153,0.59375,0.1875,1,row5
16pt1.2sp,0.8125,0.34449,0.30201,0.59375,0.21875,1,gap4
16pt1.2sp,0.8125,0.33023,0.25973,0.59375,0.21875,0,
16pt1.2sp,0.84375,0.91279,0.17592,0.59375,0.21875,0,
16pt1.2sp,0.84375,1.11065,0.14895,0.59375,0.21875,0,
16pt1.2sp,0.875,1.09712,0.10987,0.59375,0.21875,0,
16pt1.2sp,0.875,0.72273,0.1333,0.59375,0.21875,0,
16pt1.2sp,0.90625,0.59965,0.1483,0.59375,0.21875,0,
16pt1.2sp,0.9375,0.35026,0.16077,0.59375,0.21875,0,
16pt1.2sp,0.9375,0.35077,0.14227,0.59375,0.21875,0,
16pt1.2sp,0.96875,0.34976,0.13091,0.59375,0.21875,0,
16pt1.2sp,0.96875,0.35362,0.11963,0.9375,0.03125,1,
16pt1.2sp,1,0.3576,0.13124,0.9375,0.0625,1,
16pt1.2sp,1,0.36027,0.13912,0.9375,0.0625,1,
16pt1.2sp,1.03125,0.35741,0.14226,0.9375,0.09375,1,
16pt1.2sp,1.03125,0.36076,0.14987,0.9375,0.09375,1,
16pt1.2sp,1.0625,0.36343,0.15625,0.9375,0.125,1,
16pt1.2sp,1.0625,0.36508,0.15495,0.9375,0.125,1,
16pt1.2sp,1.09375,0.36476,0.15753,0.9375,0.15625,1,
16pt1.2sp,1.09375,0.36443,0.15941,0.9375,0.15625,1,
16pt1.2sp,1.125,0.36544,0.15844,0.9375,0.1875,1,
16pt1.2sp,1.125,0.36542,0.15263,0.9375,0.1875,1,
16pt1.2sp,1.15625,0.36522,0.1465,0.9375,0.21875,1,
16pt1.2sp,1.15625,0.3671,0.1495,0.9375,0.21875,1,
16pt1.2sp,1.1875,0.36639,0.14573,0.9375,0.25,1,
16pt1.2sp,1.1875,0.36559,0.1415,0.9375,0.25,1,
16pt1.2sp,1.21875,0.3644,0.13701,0.9375,0.28125,1,
16pt1.2sp,1.21875,0.36308,0.13305,0.9375,0.28125,1,
16pt1.2sp,1.25,0.36192,0.1297,0.9375,0.3125,1,
16pt1.2sp,1.25,0.36499,0.12725,0.9375,0.3125,1,
16pt1.2sp,1.28125,0.36913,0.09611,0.9375,0.3125,0,
16pt1.2sp,1.3125,0.39269,0.10658,0.9375,0.3125,0,
16pt1.2sp,1.3125,0.40204,0.12214,0.9375,0.3125,0,
16pt1.2sp,1.34375,0.40556,0.12576,1.28125,0.0625,1,
16pt1.2sp,1.34375,0.40737,0.12547,1.28125,0.0625,1,
16pt1.2sp,1.375,0.41182,0.12436,1.28125,0.09375,1,
16pt1.2sp,1.375,0.41395,0.12455,1.28125,0.09375,1,
16pt1.2sp,1.40625,0.41544,0.12414,1.28125,0.125,1,
16pt1.2sp,1.40625,0.41817,0.12611,1.28125,0.125,1,
16pt1.2sp,1.4375,0.41918,0.1246,1.28125,0.15625,1,
16pt1.2sp,1.4375,0.42014,0.12444,1.28125,0.15625,1,
16pt1.2sp,1.46875,0.42072,0.12215,1.28125,0.1875,1,
16pt1.2sp,1.46875,0.42022,0.11822,1.28125,0.1875,1,
16pt1.2sp,1.5,0.41964,0.11356,1.28125,0.21875,1,
16pt1.2sp,1.5,0.42161,0.10831,1.28125,0.21875,1,
16pt1.2sp,1.53125,0.42411,0.10516,1.28125,0.25,1,
16pt1.2sp,1.53125,0.42626,0.10202,1.28125,0.25,1,
16pt1.2sp,1.5625,0.42775,0.09893,1.28125,0.28125,1,
16pt1.2sp,1.5625,0.42986,0.0963,1.28125,0.28125,1,
16pt1.2sp,1.59375,0.4318,0.09423,1.28125,0.3125,1,
16pt1.2sp,1.625,0.44595,0.07241,1.28125,0.3125,0,
16pt1.2sp,1.65625,0.4361,0.0776,1.28125,0.3125,0,
16pt1.2sp,1.65625,0.44504,0.09595,1.625,0.03125,1,
16pt1.2sp,1.6875,0.44558,0.1108,1.625,0.0625,1,
16pt1.2sp,1.6875,0.44622,0.12237,1.625,0.0625,1,
16pt1.2sp,1.71875,0.44932,0.12672,1.625,0.09375,1,
16pt1.2sp,1.71875,0.45228,0.1219,1.625,0.09375,1,
16pt1.2sp,1.75,0.45443,0.11703,1.625,0.125,1,
16pt1.2sp,1.75,0.45507,0.11581,1.625,0.125,1,
16pt1.2sp,1.78125,0.45859,0.11666,1.625,0.15625,1,
16pt1.2sp,1.78125,0.46165,0.1192,1.625,0.15625,1,
16pt1.2sp,1.8125,0.46322,0.12107,1.625,0.1875,1,
16pt1.2sp,1.8125,0.46344,0.12243,1.625,0.1875,1,
16pt1.2sp,1.84375,0.46346,0.12123,1.625,0.21875,1,
16pt1.2sp,1.84375,0.46292,0.1204,1.625,0.21875,1,
16pt1.2sp,1.875,0.46284,0.11854,1.625,0.25,1,
16pt1.2sp,1.875,0.46269,0.11606,1.625,0.25,1,
16pt1.2sp,1.90625,0.46324,0.11472,1.625,0.28125,1,
16pt1.2sp,1.9375,0.46374,0.11289,1.625,0.3125,1,
16pt1.2sp,1.9375,0.46429,0.1121,1.625,0.3125,1,
16pt1.2sp,1.96875,0.45827,0.11335,1.625,0.34375,1,
