subject_number,ignore_sample,test_type,find row by,question type,target_row_up,target_row_down,question_row_up,question_row_down,focus_start,focus_end,question_start,text_order,num of row counting
1,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,38.393,47.693,37.59082,7,0
2,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,10.339,15.57617,2.99121,7,0
4,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,4.3,12.312,0.46875,7,0
6,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,6.5625,16.1875,1.875,5,0
7,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,5.523,11.6,1.0625,6,0
8,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,3.5,8.25,0.625,8,0
10,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,7.375,15,0.4375,2,0
11,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,4.707,7.825,0.9375,4,0
12,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,6.934,22.669,4.625,6,0
13,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,10.2,17.651,1.625,3,1
14,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,11,16.553,7,2,0
15,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,18.395,24.931,14.52325,3,1
16,0,10pt1.2sp,number,count,0.289,0.296,0.473,0.481,10.846,19.83,3.90857,2,0
9,1,10pt1.2sp_hide,number,count,0.289,0.296,0.473,0.481,3,16.437,0,4,NULL
17,1,10pt1.2sp_hide,number,count,0.289,0.296,0.473,0.481,10,14.5,2.67822,4,NULL
1,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,23.233,29.291,20.69922,4,0
2,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,7.995,12.7334,2.77881,6,0
4,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,5.375,12.5625,0.71875,8,0
5,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,5.738,14,1.1875,4,0
6,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,22.475,26.875,17.6875,2,0
7,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,4.633,9,1.315,7,0
8,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,7.5625,10.9375,3.9375,3,1
10,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,6.579,12.5,1.8125,5,0
11,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,12,17.687,0.5625,6,0
12,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,4.124,19.875,1.25,7,0
13,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,3.052,8,1.125,7,0
14,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,26.761,34.375,16.625,1,0
15,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,35.798,42,26.79556,4,0
16,0,13pt1.2spA,bold,exist,0.363,0.372,0.518,0.528,23.884,28.094,9.59589,1,1
9,1,13pt1.2spA_hide,bold,exist,0.363,0.372,0.518,0.528,7,12,1.3125,8,NULL
